Incident_Id,Bias,Cluster
147593,Anti-Black or African American,Racial or Ethnicity
147594,Anti-Gay (Male),Sexual Orientation
147595,Anti-White,Racial or Ethnicity
147596,Anti-White,Racial or Ethnicity
147597,Anti-Islamic (Muslim),Religion or Belief
147598,Anti-Mental Disability,Disability
147599,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143577,Anti-Black or African American,Racial or Ethnicity
143578,"Anti-Multiple Religions, Group",Religion or Belief
143579,Anti-Hispanic or Latino,Racial or Ethnicity
143580,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143581,Anti-Black or African American,Racial or Ethnicity
143582,Anti-Other Religion,Religion or Belief
143583,Anti-Black or African American,Racial or Ethnicity
143584,Anti-Black or African American,Racial or Ethnicity
143585,Anti-Black or African American,Racial or Ethnicity
143586,Anti-Gay (Male),Sexual Orientation
143587,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143588,Anti-Black or African American,Racial or Ethnicity
143589,Anti-Gay (Male),Sexual Orientation
143590,Anti-Black or African American,Racial or Ethnicity
143591,Anti-White,Racial or Ethnicity
143592,Anti-Black or African American,Racial or Ethnicity
143593,Anti-Black or African American,Racial or Ethnicity
143594,Anti-Black or African American,Racial or Ethnicity
143595,Anti-Black or African American,Racial or Ethnicity
147695,Anti-White,Racial or Ethnicity
147696,Anti-White,Racial or Ethnicity
143737,"Anti-Multiple Races, Group",Racial or Ethnicity
147697,Anti-Hispanic or Latino,Racial or Ethnicity
143738,Anti-American Indian or Alaska Native,Racial or Ethnicity
147698,Anti-Black or African American,Racial or Ethnicity
143739,Anti-Heterosexual,Gender Identity
143740,Anti-Other Religion,Religion or Belief
143741,Anti-Black or African American,Racial or Ethnicity
143742,Anti-Asian,Racial or Ethnicity
147699,Anti-Black or African American,Racial or Ethnicity
147700,"Anti-Multiple Religions, Group",Religion or Belief
147701,Anti-Gay (Male),Sexual Orientation
147702,"Anti-Multiple Religions, Group",Religion or Belief
147703,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143743,Anti-Lesbian (Female),Sexual Orientation
147704,Anti-Asian,Racial or Ethnicity
147705,Anti-Gay (Male),Sexual Orientation
143744,Anti-Asian,Racial or Ethnicity
147706,Anti-Black or African American,Racial or Ethnicity
147707,"Anti-Multiple Religions, Group",Religion or Belief
143745,Anti-Hispanic or Latino,Racial or Ethnicity
435691,Anti-Mental Disability,Disability
147708,"Anti-Multiple Races, Group",Racial or Ethnicity
143746,Anti-Black or African American,Racial or Ethnicity
147779,Anti-Black or African American,Racial or Ethnicity
143747,Anti-White,Racial or Ethnicity
143748,Anti-Black or African American,Racial or Ethnicity
147780,Anti-Black or African American,Racial or Ethnicity
147781,Anti-Black or African American,Racial or Ethnicity
143749,Anti-Catholic,Religion or Belief
143750,Anti-White,Racial or Ethnicity
143751,Anti-Catholic,Religion or Belief
143752,Anti-Black or African American,Racial or Ethnicity
143753,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143754,Anti-Black or African American,Racial or Ethnicity
143755,Anti-White,Racial or Ethnicity
143756,Anti-White,Racial or Ethnicity
147782,Anti-White,Racial or Ethnicity
143757,Anti-White,Racial or Ethnicity
143758,Anti-Black or African American,Racial or Ethnicity
147783,Anti-White,Racial or Ethnicity
147784,Anti-White,Racial or Ethnicity
147785,Anti-Black or African American,Racial or Ethnicity
143759,Anti-Gay (Male),Sexual Orientation
143760,Anti-Black or African American,Racial or Ethnicity
147786,Anti-Black or African American,Racial or Ethnicity
147787,Anti-Black or African American,Racial or Ethnicity
143761,Anti-Gay (Male),Sexual Orientation
147788,Anti-Black or African American,Racial or Ethnicity
143762,Anti-Bisexual,Sexual Orientation
147789,Anti-Gay (Male),Sexual Orientation
147790,Anti-Bisexual,Sexual Orientation
147791,Anti-Bisexual,Sexual Orientation
143763,Anti-Hispanic or Latino,Racial or Ethnicity
147792,Anti-Black or African American,Racial or Ethnicity
143764,Anti-Black or African American,Racial or Ethnicity
143765,Anti-Asian,Racial or Ethnicity
147793,"Anti-Multiple Races, Group",Racial or Ethnicity
147794,Anti-Hispanic or Latino,Racial or Ethnicity
147795,Anti-Asian,Racial or Ethnicity
143766,Anti-White,Racial or Ethnicity
147796,Anti-Black or African American,Racial or Ethnicity
143767,Anti-Black or African American,Racial or Ethnicity
143596,Anti-Gay (Male),Sexual Orientation
143597,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
143616,Anti-Black or African American,Racial or Ethnicity
143617,Anti-Jewish,Religion or Belief
143618,Anti-Other Religion,Religion or Belief
143619,Anti-Black or African American,Racial or Ethnicity
143620,Anti-Black or African American,Racial or Ethnicity
143621,Anti-Black or African American,Racial or Ethnicity
143622,Anti-Black or African American,Racial or Ethnicity
143623,Anti-Black or African American,Racial or Ethnicity
143598,Anti-Black or African American,Racial or Ethnicity
143599,Anti-Black or African American,Racial or Ethnicity
143600,Anti-Gay (Male),Sexual Orientation
143601,Anti-Jewish,Religion or Belief
143602,Anti-Hispanic or Latino,Racial or Ethnicity
143603,"Anti-Multiple Races, Group",Racial or Ethnicity
143604,Anti-Islamic (Muslim),Religion or Belief
143605,Anti-Black or African American,Racial or Ethnicity
143624,Anti-Jewish,Religion or Belief
143625,Anti-Black or African American,Racial or Ethnicity
143626,Anti-Hispanic or Latino,Racial or Ethnicity
143627,Anti-Black or African American,Racial or Ethnicity
143628,Anti-Black or African American,Racial or Ethnicity
143629,Anti-Black or African American,Racial or Ethnicity
143606,Anti-Black or African American,Racial or Ethnicity
143607,Anti-Black or African American,Racial or Ethnicity
143608,Anti-Black or African American,Racial or Ethnicity
143609,Anti-Asian,Racial or Ethnicity
143630,Anti-Black or African American,Racial or Ethnicity
143631,Anti-Other Religion,Religion or Belief
143632,Anti-Black or African American,Racial or Ethnicity
143610,Anti-Black or African American,Racial or Ethnicity
143611,Anti-Black or African American,Racial or Ethnicity
143612,"Anti-Multiple Religions, Group",Religion or Belief
143613,Anti-Jewish,Religion or Belief
143614,Anti-Gay (Male),Sexual Orientation
143615,Anti-Black or African American,Racial or Ethnicity
143633,Anti-Gay (Male),Sexual Orientation
143634,Anti-Gay (Male),Sexual Orientation
143635,Anti-Gay (Male),Sexual Orientation
143636,Anti-Hispanic or Latino,Racial or Ethnicity
143637,Anti-Gay (Male),Sexual Orientation
143638,Anti-Jewish,Religion or Belief
143639,Anti-Physical Disability,Disability
143640,Anti-Gay (Male),Sexual Orientation
143641,Anti-Gay (Male),Sexual Orientation
143642,Anti-Black or African American,Racial or Ethnicity
143643,Anti-Gay (Male),Sexual Orientation
143644,Anti-Hispanic or Latino,Racial or Ethnicity
143645,Anti-Black or African American,Racial or Ethnicity
143646,Anti-Hispanic or Latino,Racial or Ethnicity
143647,Anti-Hispanic or Latino,Racial or Ethnicity
143648,Anti-Hispanic or Latino,Racial or Ethnicity
143649,Anti-Jewish,Religion or Belief
143650,Anti-Black or African American,Racial or Ethnicity
143651,Anti-Black or African American,Racial or Ethnicity
143652,Anti-Gay (Male),Sexual Orientation
143653,Anti-Black or African American,Racial or Ethnicity
143654,Anti-Gay (Male),Sexual Orientation
143655,Anti-Black or African American,Racial or Ethnicity
143656,Anti-Black or African American,Racial or Ethnicity
143657,Anti-Black or African American,Racial or Ethnicity
143658,Anti-Hispanic or Latino,Racial or Ethnicity
143659,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143660,Anti-Black or African American,Racial or Ethnicity
143661,Anti-Black or African American,Racial or Ethnicity
143662,Anti-Islamic (Muslim),Religion or Belief
143663,Anti-Black or African American,Racial or Ethnicity
143664,Anti-Jewish,Religion or Belief
143665,Anti-Lesbian (Female),Sexual Orientation
143666,Anti-Physical Disability,Disability
143667,Anti-Lesbian (Female),Sexual Orientation
143668,Anti-Black or African American,Racial or Ethnicity
143669,Anti-Hispanic or Latino,Racial or Ethnicity
143670,Anti-Hispanic or Latino,Racial or Ethnicity
143671,Anti-Jewish,Religion or Belief
143672,Anti-Gay (Male),Sexual Orientation
143673,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143674,Anti-Black or African American,Racial or Ethnicity
143675,Anti-Jewish,Religion or Belief
143676,Anti-Lesbian (Female),Sexual Orientation
143677,Anti-Jewish,Religion or Belief
143678,Anti-Gay (Male),Sexual Orientation
143679,Anti-Jewish,Religion or Belief
143680,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
143681,Anti-Lesbian (Female),Sexual Orientation
143682,Anti-Gay (Male),Sexual Orientation
143683,Anti-White,Racial or Ethnicity
143684,Anti-Black or African American,Racial or Ethnicity
143685,Anti-Gay (Male),Sexual Orientation
143686,Anti-Black or African American,Racial or Ethnicity
143687,Anti-Black or African American,Racial or Ethnicity
143688,Anti-Gay (Male),Sexual Orientation
143689,Anti-Black or African American,Racial or Ethnicity
143690,Anti-Jewish,Religion or Belief
143691,Anti-Jewish,Religion or Belief
143692,Anti-Black or African American,Racial or Ethnicity
143693,Anti-Gay (Male),Sexual Orientation
147600,Anti-White,Racial or Ethnicity
147601,Anti-White,Racial or Ethnicity
147602,Anti-Black or African American,Racial or Ethnicity
147603,Anti-Jewish,Religion or Belief
147604,Anti-Black or African American,Racial or Ethnicity
147605,Anti-Gay (Male),Sexual Orientation
147606,Anti-Black or African American,Racial or Ethnicity
147607,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147608,Anti-Hispanic or Latino,Racial or Ethnicity
147609,Anti-Black or African American,Racial or Ethnicity
147610,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147611,Anti-Black or African American,Racial or Ethnicity
147612,Anti-Lesbian (Female),Sexual Orientation
147613,Anti-Gay (Male),Sexual Orientation
147614,Anti-Gay (Male),Sexual Orientation
147615,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147616,Anti-Black or African American,Racial or Ethnicity
147617,Anti-Gay (Male),Sexual Orientation
147618,Anti-Hispanic or Latino,Racial or Ethnicity
147619,Anti-Hispanic or Latino,Racial or Ethnicity
147620,Anti-Black or African American,Racial or Ethnicity
147621,Anti-Hispanic or Latino,Racial or Ethnicity
147622,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147623,Anti-Black or African American,Racial or Ethnicity
147624,Anti-Black or African American,Racial or Ethnicity
147625,Anti-White,Racial or Ethnicity
147626,Anti-Black or African American,Racial or Ethnicity
147627,Anti-Black or African American,Racial or Ethnicity
147628,Anti-Other Religion,Religion or Belief
147629,Anti-Black or African American,Racial or Ethnicity
147630,Anti-Black or African American,Racial or Ethnicity
147631,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147632,Anti-Jewish,Religion or Belief
147633,Anti-Gay (Male),Sexual Orientation
147634,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147635,Anti-Jewish,Religion or Belief
147636,Anti-White,Racial or Ethnicity
147637,Anti-Black or African American,Racial or Ethnicity
147638,Anti-Hispanic or Latino,Racial or Ethnicity
147639,Anti-Other Religion,Religion or Belief
147640,Anti-Black or African American,Racial or Ethnicity
147641,Anti-Lesbian (Female),Sexual Orientation
147642,Anti-Black or African American,Racial or Ethnicity
147643,Anti-Black or African American,Racial or Ethnicity
147644,Anti-Gay (Male),Sexual Orientation
147645,Anti-Gay (Male),Sexual Orientation
147646,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
147647,Anti-Black or African American,Racial or Ethnicity
147648,Anti-Hispanic or Latino,Racial or Ethnicity
147649,Anti-Gay (Male),Sexual Orientation
147650,"Anti-Multiple Races, Group",Racial or Ethnicity
147651,Anti-Gay (Male),Sexual Orientation
147652,Anti-Gay (Male),Sexual Orientation
147653,Anti-Other Religion,Religion or Belief
147654,Anti-Gay (Male),Sexual Orientation
147655,Anti-Gay (Male),Sexual Orientation
147656,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147657,Anti-Hispanic or Latino,Racial or Ethnicity
147658,Anti-Asian,Racial or Ethnicity
147659,Anti-Black or African American,Racial or Ethnicity
147660,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147661,Anti-Black or African American,Racial or Ethnicity
147662,Anti-Black or African American,Racial or Ethnicity
147663,Anti-American Indian or Alaska Native,Racial or Ethnicity
147664,Anti-Hispanic or Latino,Racial or Ethnicity
147665,Anti-Gay (Male),Sexual Orientation
147666,Anti-White,Racial or Ethnicity
147667,Anti-Black or African American,Racial or Ethnicity
147668,Anti-Jewish,Religion or Belief
147669,Anti-Hispanic or Latino,Racial or Ethnicity
143694,Anti-Gay (Male),Sexual Orientation
143695,Anti-Jewish,Religion or Belief
143696,Anti-Jewish,Religion or Belief
143697,Anti-Asian,Racial or Ethnicity
143698,Anti-Hispanic or Latino,Racial or Ethnicity
143699,Anti-Jewish,Religion or Belief
143700,"Anti-Multiple Races, Group",Racial or Ethnicity
147670,Anti-Black or African American,Racial or Ethnicity
147671,Anti-Black or African American,Racial or Ethnicity
147672,Anti-Asian,Racial or Ethnicity
147673,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
147674,Anti-Black or African American,Racial or Ethnicity
147675,Anti-Gay (Male),Sexual Orientation
147676,Anti-Jewish,Religion or Belief
147677,Anti-Black or African American,Racial or Ethnicity
147678,Anti-Islamic (Muslim),Religion or Belief
143701,Anti-Black or African American,Racial or Ethnicity
147679,Anti-Islamic (Muslim),Religion or Belief
147680,Anti-Gay (Male),Sexual Orientation
147681,Anti-Gay (Male),Sexual Orientation
143702,Anti-Black or African American,Racial or Ethnicity
147682,Anti-Hispanic or Latino,Racial or Ethnicity
143703,Anti-Gay (Male),Sexual Orientation
143704,Anti-Black or African American,Racial or Ethnicity
143705,Anti-Hispanic or Latino,Racial or Ethnicity
143706,Anti-Gay (Male),Sexual Orientation
143707,Anti-Other Religion,Religion or Belief
143708,Anti-Other Religion,Religion or Belief
143709,Anti-Other Religion,Religion or Belief
143710,Anti-Islamic (Muslim),Religion or Belief
143711,"Anti-Multiple Religions, Group",Religion or Belief
143712,Anti-Jewish,Religion or Belief
143713,Anti-Black or African American,Racial or Ethnicity
143714,Anti-Asian,Racial or Ethnicity
143715,Anti-Jewish,Religion or Belief
143716,Anti-Black or African American,Racial or Ethnicity
143717,Anti-Gay (Male),Sexual Orientation
143718,Anti-Black or African American,Racial or Ethnicity
143719,Anti-Jewish,Religion or Belief
143720,Anti-Gay (Male),Sexual Orientation
143721,Anti-Asian,Racial or Ethnicity
143722,Anti-Black or African American,Racial or Ethnicity
143723,Anti-Islamic (Muslim),Religion or Belief
143724,Anti-Jewish,Religion or Belief
143725,Anti-Islamic (Muslim),Religion or Belief
143726,Anti-Gay (Male),Sexual Orientation
143727,"Anti-Multiple Religions, Group",Religion or Belief
143728,Anti-Hispanic or Latino,Racial or Ethnicity
147683,Anti-Protestant,Religion or Belief
